,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
20,2008,21,2008-05-03,21st match,Royal Challengers Bangalore,Deccan Chargers,Bengaluru,M.Chinnaswamy Stadium,Deccan Chargers,bowl,Zaheer Khan,Praveen Kumar,Mark Boucher (wk),Misbah-ul-Haq,Jacques Kallis,Virat Kohli,Wasim Jaffer,Bharath Chipli,Rahul Dravid (c),Anil Kumble, Dale Steyn,Arjun Yadav,Scott Styris,Shahid Afridi,Rohit Sharma,Adam Gilchrist (wk),Sanjay Bangar,Herschelle Gibbs,VVS Laxman (c),Pragyan Ojha, RP Singh, Paidikalva Vijaykumar,1,3.0,0
21,2008,22,2008-05-03,22nd match,Kings XI Punjab,Kolkata Knight Riders,Mohali,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,bat,Piyush Chawla,Irfan Pathan,Karan Goel,Mahela Jayawardene,Yuvraj Singh (c),James Hopes,Kumar Sangakkara (wk),Shaun Marsh,Gagandeep Singh, Vikram Singh, S Sreesanth,Wriddhiman Saha (wk),Ajit Agarkar,Laxmi Shukla,David Hussey,Brad Hodge,Debabrata Das,Sourav Ganguly (c),Mohammad Hafeez,Ashok Dinda, Ishant Sharma, Umar Gul,1,9.0,0
22,2008,23,2008-05-04,23rd match,Mumbai Indians,Delhi Daredevils,Mumbai,Dr DY Patil Sports Academy,Delhi Daredevils,bowl,Rohan Raje,Ashish Nehra,Saurabh Tiwary,Shaun Pollock (c),Dwayne Bravo,Abhishek Nayar,Dominic Thornely,Robin Uthappa,Sanath Jayasuriya,Yogesh Takawale (wk),Dhawal Kulkarni,Glenn McGrath,Mohammad Asif,Yo Mahesh,Pradeep Sangwan,Rajat Bhatia,Shoaib Malik,Dinesh Karthik (wk),AB de Villiers,Virender Sehwag (c),Gautam Gambhir,Shikhar Dhawan,1,29.0,0
23,2008,24,2008-05-04,24th match,Rajasthan Royals,Chennai Super Kings,Jaipur,Sawai Mansingh Stadium,Chennai Super Kings,bat,Makhaya Ntini,Muttiah Muralitharan,Manpreet Gony,Albie Morkel,Joginder Sharma,MS Dhoni (c & wk),Suresh Raina,S Badrinath,Vidyut Sivaramakrishnan,Stephen Fleming,Parthiv Patel,Graeme Smith,Shane Watson,Yusuf Pathan,Swapnil Asnodkar,Siddharth Trivedi, Munaf Patel, Sohail Tanvir, Ravindra Jadeja, Shane Warne, Mohammad Kaif, Mahesh Rawat,1,0,8.0
24,2008,25,2008-05-05,25th match,Royal Challengers Bangalore,Kings XI Punjab,Bengaluru,M.Chinnaswamy Stadium,Kings XI Punjab,bowl,Dale Steyn,Zaheer Khan,Anil Kumble,Devraj Patil (wk),Praveen Kumar,Misbah-ul-Haq,Rahul Dravid (c),Jacques Kallis,Cameron White,Wasim Jaffer,Virat Kohli,Irfan Pathan,Shaun Marsh,Mahela Jayawardene,Yuvraj Singh (c),Ramnaresh Sarwan,James Hopes,Gagandeep Singh, S Sreesanth, Piyush Chawla, Uday Kaul, Vikram Singh,0,0,6.0
25,2008,26,2008-05-06,26th match,Chennai Super Kings,Deccan Chargers,Chennai,MA Chidambaram Stadium,Deccan Chargers,bowl,Manpreet Gony,Albie Morkel,Joginder Sharma,S Badrinath,MS Dhoni (c & wk),Suresh Raina,Stephen Fleming,Srikkanth Anirudha,Parthiv Patel,Makhaya Ntini, Muttiah Muralitharan,Adam Gilchrist (c & wk),Shahid Afridi,Rohit Sharma,Scott Styris,Herschelle Gibbs,Arjun Yadav, RP Singh, Sanjay Bangar, Venugopal Rao, Pragyan Ojha, Paidikalva Vijaykumar,0,0,7.0
26,2008,27,2008-05-07,27th match,Mumbai Indians,Rajasthan Royals,Mumbai,Dr DY Patil Sports Academy,Mumbai Indians,bowl,Munaf Patel,Mahesh Rawat (wk),Siddharth Trivedi,Sohail Tanvir,Shane Warne (c),Mohammad Kaif,Ravindra Jadeja,Shane Watson,Yusuf Pathan,Swapnil Asnodkar,Graeme Smith,Yogesh Takawale (wk),Robin Uthappa,Abhishek Nayar,Dwayne Bravo,Sanath Jayasuriya,Dhawal Kulkarni, Rohan Raje, Ashish Nehra, Saurabh Tiwary, Shaun Pollock, Dominic Thornely,1,0,7.0
27,2008,28,2008-05-08,28th match,Delhi Daredevils,Chennai Super Kings,Delhi,Feroz Shah Kotla,Chennai Super Kings,bowl,Manoj Tiwary,Dinesh Karthik (wk),Shikhar Dhawan,Shoaib Malik,AB de Villiers,Gautam Gambhir,Virender Sehwag (c),Mohammad Asif, Glenn McGrath, Yo Mahesh, Pradeep Sangwan,Manpreet Gony,S Badrinath,Albie Morkel,Chamara Kapugedera,Suresh Raina,MS Dhoni (c & wk),Stephen Fleming,Vidyut Sivaramakrishnan,Muttiah Muralitharan, Palani Amarnath, Lakshmipathy Balaji,0,0,4.0
28,2008,29,2008-05-08,29th match,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,Kolkata Knight Riders,bat,Umar Gul,Murali Kartik,Wriddhiman Saha (wk),Laxmi Shukla,Tatenda Taibu,Sourav Ganguly (c),David Hussey,Brad Hodge,Aakash Chopra,Ashok Dinda, Ishant Sharma,Shivnarine Chanderpaul,Jagadeesh Arunkumar,Praveen Kumar,Cameron White,Rahul Dravid (c),Mark Boucher (wk),Dale Steyn, Virat Kohli, Zaheer Khan, Anil Kumble, Vinay Kumar,1,5.0,0
29,2008,30,2008-05-09,30th match,Rajasthan Royals,Deccan Chargers,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,bowl,RP Singh,Pragyan Ojha,Dwaraka Ravi Teja,Rohit Sharma,Shahid Afridi,Scott Styris,Herschelle Gibbs,Adam Gilchrist (c & wk),Venugopal Rao,Sanjay Bangar,Paidikalva Vijaykumar,Shane Watson,Graeme Smith,Mohammad Kaif,Yusuf Pathan,Sohail Tanvir, Siddharth Trivedi, Mahesh Rawat, Ravindra Jadeja, Shane Warne, Niraj Patel, Munaf Patel,1,0,8.0
