,season,team1,team2,winner
493,2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
494,2015,Mumbai Indians,Delhi Daredevils,Mumbai Indians
495,2015,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
496,2015,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
497,2015,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
498,2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians
499,2015,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
500,2015,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
501,2015,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
502,2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
503,2015,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
504,2015,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
505,2015,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
506,2015,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
507,2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
508,2015,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
509,2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
510,2015,Royal Challengers Bangalore,Delhi Daredevils,False
511,2015,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
512,2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians
513,2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
514,2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
515,2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians
516,2016,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiants
517,2016,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
518,2016,Kings XI Punjab,Gujarat Lions,Gujarat Lions
519,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
520,2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
